File Name,Mean (V),Median (V),Min (V),Max (V),Std Dev (V)
C2_BGHV_2.bin,-0.34388554977345426,0.0,-121.09375,109.375,15.107121054192202
C2_BGHV_24.bin,-0.24576229359655258,0.0,-128.90625,117.1875,15.182223526171658
C2_BGHV_20.bin,-0.16693966747122474,0.0,-125.0,101.5625,14.859588579600437
C2_BGHV_23.bin,-0.30843191286530147,0.0,-136.71875,109.375,15.147195361076768
C2_BGHV_22.bin,-0.40905232771942895,0.0,-117.1875,113.28125,15.382050340406964
C2_BGHV_19.bin,-0.39055999261516106,0.0,-125.0,109.375,14.962220865660077
C2_BGHV_27.bin,-0.4449083540890245,0.0,-109.375,101.5625,15.222018680126457
C2_BGHV_26.bin,-0.2884073724525106,0.0,-117.1875,117.1875,14.912425586244895
C2_BGHV_25.bin,-0.2184306730994641,0.0,-121.09375,121.09375,14.922704024903586
C2_BGHV_30.bin,-0.3391037565617454,0.0,-93.75,113.28125,15.184675182545812
C2_BGHV_28.bin,-0.3939564722052425,0.0,-109.375,121.09375,15.394147432107346
C2_BGHV_29.bin,-0.38778077064554534,0.0,-113.28125,113.28125,14.862878930833903
C2_BGHV_3.bin,-0.3301058594006279,0.0,-113.28125,109.375,15.176402412500936
C2_BGHV_4.bin,-0.3437159992625162,0.0,-109.375,97.65625,14.904057922663302
C2_BGHV_9.bin,-0.16549458143445095,0.0,-125.0,113.28125,15.290088026331107
C2_BGHV_6.bin,-0.5545555756383925,0.0,-113.28125,113.28125,15.144905951453469
C2_BGHV_7.bin,-0.47375811579695454,0.0,-121.09375,113.28125,15.402785238767512
C2_BGHV_5.bin,-0.33934948760179157,0.0,-101.5625,105.46875,15.106042971966941
C2_BG_1.bin,-0.19353096949313442,0.0,-66.40625,62.5,13.280533673449439
C2_BG_10.bin,-0.18073381261111263,0.0,-101.5625,93.75,13.292157574355603
C2_BGHV_8.bin,-0.31923626523973125,0.0,-128.90625,109.375,14.842022241967163
C2_BG_11.bin,-0.20419233687446894,0.0,-109.375,101.5625,13.239233307500758
C2_BG_14.bin,-0.32252843610534154,0.0,-97.65625,85.9375,12.877688075619917
